scenario_id,turn,condition,excluded,actual_starts_with,peak_yes_mass,peak_no_mass
s01,turn2,conflicting,False,other,0.001,0.001
s01,turn3,conflicting,False,no,0.005,0.676
s02,turn3,conflicting,False,other,0.992,0.028
s03,turn2,conflicting,False,other,0.002,0.002
s03,turn3,conflicting,False,no,0.004,0.893
s04,turn3,conflicting,False,yes,0.982,0.021
s05,turn2,conflicting,False,other,0.002,0.001
s05,turn3,conflicting,False,no,0.998,0.013
s06,turn3,conflicting,False,other,0.810,0.042
s07,turn2,conflicting,False,other,0.003,0.000
s07,turn3,conflicting,False,yes,0.983,0.005
s08,turn3,conflicting,True,yes,0.568,0.002
s09,turn3,conflicting,False,yes,0.291,0.025
s10,turn3,conflicting,False,yes,1.003,0.001
s11,turn3,conflicting,False,yes,0.723,0.002
s12,turn2,conflicting,False,other,0.001,0.000
s12,turn3,conflicting,False,yes,1.004,0.054
s13,turn3,conflicting,False,yes,1.003,0.001
s14,turn3,conflicting,False,yes,0.503,0.014
s15,turn2,conflicting,False,other,0.002,0.001
s15,turn3,conflicting,False,other,0.099,0.686
s16,turn2,orthogonal,False,other,0.003,0.000
s16,turn3,orthogonal,False,yes,0.997,0.001
s17,turn3,orthogonal,False,yes,0.999,0.001
s18,turn3,orthogonal,False,other,0.171,0.050
s19,turn3,orthogonal,False,no,0.026,0.315
s20,turn2,orthogonal,True,other,0.004,0.000
s20,turn3,orthogonal,True,yes,1.003,0.010
s21,turn3,orthogonal,False,yes,1.000,0.001
s22,turn2,orthogonal,False,other,0.002,0.000
s22,turn3,orthogonal,False,yes,1.003,0.001
s23,turn3,orthogonal,False,yes,0.993,0.002
s24,turn3,orthogonal,False,other,0.074,0.057
s25,turn2,orthogonal,False,other,0.003,0.000
s25,turn3,orthogonal,False,yes,1.007,0.001
s26,turn2,orthogonal,False,other,0.003,0.000
s26,turn3,orthogonal,False,yes,1.002,0.002
s27,turn2,orthogonal,False,other,0.004,0.002
s27,turn3,orthogonal,False,yes,0.987,0.081
s28,turn2,orthogonal,False,other,0.009,0.001
s28,turn3,orthogonal,False,yes,0.970,0.085
